mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-09-10 08:58:28.559140096,60.0878,-139.4344,401.0,32.0,-382.0,33.2,-121.0,16.5,84,S,2A,3413
2020-10-30 08:58:27.559139840,60.0878,-139.4344,458.0,82.0,-418.0,85.8,-187.0,56.3,15,S,2B,3413
2017-12-27 08:45:48.059140096,60.0878,-139.4344,467.0,16.0,-409.0,17.0,-226.0,10.4,104,S,2B,3413
2019-11-10 15:48:46.101734912,60.0878,-139.4344,547.0,77.0,-516.0,73.5,-181.0,101.1,11,S,1A,3413
2018-03-10 08:52:55.059140096,60.0878,-139.4344,734.0,49.0,-597.0,56.0,-427.0,30.4,24,S,2B,3413
2019-03-10 09:05:22.059140096,60.0878,-139.4344,965.0,33.0,-851.0,35.3,-455.0,22.3,45,S,2A,3413
2018-02-25 20:54:32.059140096,60.0878,-139.4344,651.0,37.0,-573.0,40.5,-309.0,18.8,69,S,2A,3413
2020-09-19 20:48:26.559139840,60.0878,-139.4344,765.0,10.0,-670.0,11.5,-369.0,5.1,260,S,2B,3413
2017-06-18 03:02:21.675333120,60.0878,-139.4344,1079.0,40.0,-981.0,39.9,-450.0,41.2,24,S,1B,3413
2019-03-05 09:04:05.559140096,60.0878,-139.4344,912.0,31.0,-800.0,33.1,-437.0,19.8,45,S,2B,3413
2019-05-14 15:48:38.387516672,60.0878,-139.4344,1691.0,90.0,-1519.0,83.8,-743.0,113.4,12,S,1A,3413
2018-11-22 20:57:46.559140096,60.0878,-139.4344,408.0,13.0,-358.0,13.8,-196.0,10.4,160,S,2B,3413
2018-07-14 15:31:32.500580096,60.0878,-139.4344,514.0,48.0,-489.0,48.9,-159.0,36.9,12,S,1B,3413
2019-09-03 08:48:28.559140096,60.0878,-139.4344,361.0,32.0,-329.0,32.7,-150.0,25.0,24,S,2A,3413
2018-06-27 20:42:53.559140096,60.0878,-139.4344,808.0,10.0,-708.0,10.3,-389.0,7.5,190,S,2B,3413
2019-01-28 15:31:33.583704064,60.0878,-139.4344,945.0,41.0,-408.0,43.8,-852.0,40.6,23,S,1B,3413
2020-09-09 20:48:31.559140096,60.0878,-139.4344,438.0,84.0,-423.0,83.6,-112.0,84.6,9,S,2A,3413
2017-12-17 08:47:16.559140352,60.0878,-139.4344,463.0,15.0,-409.0,15.8,-216.0,13.4,75,S,2A,3413
2019-09-17 15:48:45.583454976,60.0878,-139.4344,346.0,38.0,-328.0,36.2,-110.0,54.0,24,S,1A,3413
2018-08-22 08:53:28.059140096,60.0878,-139.4344,408.0,29.0,-368.0,30.7,-177.0,22.4,44,S,2A,3413
2018-04-21 02:54:57.460622080,60.0878,-139.4344,992.0,83.0,-882.0,84.0,-453.0,78.9,12,S,1A,3413
2018-12-21 15:48:38.290864128,60.0878,-139.4344,272.0,46.0,-110.0,36.6,-249.0,48.1,35,S,1A,3413
2019-03-07 21:05:24.059140096,60.0878,-139.4344,933.0,31.0,-825.0,33.7,-436.0,19.9,50,S,2B,3413
2020-01-26 20:58:23.059140096,60.0878,-139.4344,894.0,10.0,-790.0,10.3,-418.0,8.4,199,S,2B,3413
2018-04-14 08:51:35.059140096,60.0878,-139.4344,964.0,143.0,-845.0,144.9,-465.0,138.0,4,S,2A,3413
2018-04-14 08:51:53.059140096,60.0878,-139.4344,971.0,26.0,-857.0,27.4,-457.0,21.0,45,S,2A,3413
2020-07-24 20:58:23.059140096,60.0878,-139.4344,863.0,18.0,-764.0,20.4,-400.0,8.2,180,S,2B,3413
2018-08-11 20:41:17.059140096,60.0878,-139.4344,462.0,30.0,-416.0,31.0,-200.0,21.7,50,S,2A,3413
2018-06-18 08:54:00.559140096,60.0878,-139.4344,1082.0,27.0,-973.0,27.4,-475.0,23.0,65,S,2B,3413
