time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-27T22:14:21.265Z,54.604,-159.6956,28.4,4.2,mb,,170,0.235,0.82,us,us7000c6hs,2020-10-27T23:36:11.027Z,"96 km SSE of Sand Point, Alaska",earthquake,6.5,6.3,0.118,20,reviewed,us,us
2020-10-27T20:48:01.566Z,31.7195,-104.1274,11.24,2.7,ml,,48,0.083,0.53,us,us7000c6g4,2020-10-27T21:52:56.040Z,"50 km W of Mentone, Texas",earthquake,1.2,6.2,0.077,98,reviewed,us,us
2020-10-27T20:47:31.780Z,54.0445,-159.632,19.36,4.3,mb,,162,0.788,0.51,us,us7000c6g6,2020-10-27T22:51:04.607Z,"154 km SSE of Sand Point, Alaska",earthquake,6.8,5.9,0.11,25,reviewed,us,us
2020-10-27T19:22:43.900Z,36.6015,-121.0576667,12.69,3.29,mw,80,62,0.0272,0.16,nc,nc73475701,2020-10-28T19:33:07.570Z,"11km NE of Pinnacles, CA",earthquake,0.18,0.32,,4,reviewed,nc,nc
2020-10-27T17:30:49.980Z,54.136,-159.7145,13.87,4.2,mwr,,155,1.293,0.76,us,us7000c69x,2020-10-29T16:19:41.040Z,"south of Alaska",earthquake,6.3,5.2,0.08,15,reviewed,us,us
2020-10-27T15:23:00.889Z,38.0359,-96.8806,5,2.6,mb_lg,,115,0.836,0.45,us,us6000cdsh,2020-10-27T18:44:29.040Z,"6 km S of Burns, Kansas",earthquake,2.8,2,0.081,40,reviewed,us,us
2020-10-27T14:06:09.193Z,54.0495,-159.6577,14.24,4.5,mb,,163,0.784,0.61,us,us6000cdrk,2020-10-27T20:51:51.600Z,"153 km SSE of Sand Point, Alaska",earthquake,5,2.2,0.056,93,reviewed,us,us
2020-10-27T13:23:06.997Z,54.0513,-159.6711,15.57,4.3,mb,,201,0.782,0.51,us,us6000cdqz,2020-10-27T20:40:40.165Z,"152 km SSE of Sand Point, Alaska",earthquake,6,4.1,0.122,20,reviewed,us,us
2020-10-27T08:20:48.100Z,44.411,-115.2208333,11.47,2.61,ml,14,80,0.336,0.25,mb,mb80471919,2020-10-27T15:00:34.360Z,"31 km NW of Stanley, Idaho",earthquake,0.56,1.18,0.131,16,reviewed,mb,mb
2020-10-27T05:46:54.630Z,44.54,-115.2551667,13.15,3.19,ml,27,82,0.447,0.2,mb,mb80471914,2020-10-27T15:22:36.150Z,"43 km NW of Stanley, Idaho",earthquake,0.28,0.67,0.215,27,reviewed,mb,mb
2020-10-27T05:45:59.765Z,38.1833,-117.8677,9.9,3.1,ml,32,40.02,0.022,0.1389,nn,nn00780537,2020-10-27T08:03:06.040Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.31,16,reviewed,nn,nn
2020-10-27T04:52:18.054Z,54.3763,-159.7581,25.24,4.1,mb,,160,0.466,0.7,us,us6000cdm0,2020-10-29T03:46:23.040Z,"117 km SSE of Sand Point, Alaska",earthquake,5.1,6.8,0.127,17,reviewed,us,us
2020-10-27T01:26:16.840Z,34.8598333,-116.339,5.11,3.3,ml,65,42,0.03054,0.16,ci,ci39445839,2020-10-29T22:19:16.418Z,"22km NW of Ludlow, CA",earthquake,0.1,0.31,0.15,286,reviewed,ci,ci
2020-10-27T00:59:20.922Z,61.7107,-149.7526,31.4,2.6,ml,,,,0.6,ak,ak020dtt45i0,2020-10-27T14:08:06.291Z,"9 km NNE of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-27T00:02:18.930Z,36.4393333,-90.8415,7.92,2.53,md,11,136,0.4468,0.25,nm,nm60115823,2020-10-27T12:26:05.010Z,"5 km ENE of Maynard, Arkansas",earthquake,1.34,3.68,0.098,6,reviewed,nm,nm
