mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-04-24 08:51:15.559140096,60.1829,-140.7541,632.0,22.0,-67.0,27.5,629.0,21.9,45,S,2A,3413
2019-02-25 21:04:04.059140096,60.1829,-140.7541,589.0,19.0,-58.0,29.5,586.0,18.9,60,S,2A,3413
2021-02-01 20:48:26.559139840,60.1829,-140.7541,711.0,73.0,-110.0,151.5,702.0,69.9,9,S,2B,3413
2018-09-21 08:51:41.559139840,60.1829,-140.7541,325.0,32.0,-86.0,40.5,313.0,31.2,25,S,2A,3413
2019-10-03 08:56:06.559140096,60.1829,-140.7541,564.0,3.0,-94.0,4.0,556.0,3.2,344,S,2A,3413
2019-05-06 21:05:27.559140096,60.1829,-140.7541,655.0,20.0,-79.0,32.1,651.0,19.6,69,S,2B,3413
2018-06-30 20:50:28.559140096,60.1829,-140.7541,526.0,10.0,-83.0,12.1,519.0,9.7,150,S,2B,3413
2019-05-14 09:05:26.059140096,60.1829,-140.7541,610.0,18.0,-66.0,26.1,606.0,18.1,84,S,2B,3413
2019-05-21 21:02:07.559140096,60.1829,-140.7541,696.0,19.0,-74.0,25.3,692.0,18.5,89,S,2A,3413
2020-02-25 08:48:30.059140096,60.1829,-140.7541,635.0,5.0,-86.0,11.5,629.0,5.1,255,S,2A,3413
2019-08-04 08:48:33.059140096,60.1829,-140.7541,497.0,8.0,-60.0,13.2,493.0,8.2,154,S,2B,3413
2019-05-08 20:48:35.559140096,60.1829,-140.7541,577.0,44.0,-158.0,54.8,555.0,42.8,20,S,2B,3413
2019-06-05 08:48:28.559140096,60.1829,-140.7541,551.0,4.0,-82.0,4.5,545.0,4.0,275,S,2B,3413
2019-01-26 15:48:37.029026048,60.1829,-140.7541,499.0,47.0,-64.0,34.6,495.0,47.0,35,S,1A,3413
2018-09-20 20:46:15.059140096,60.1829,-140.7541,374.0,17.0,-57.0,21.9,370.0,16.6,100,S,2B,3413
2018-02-10 08:46:16.559140096,60.1829,-140.7541,516.0,6.0,-69.0,10.4,511.0,6.1,194,S,2B,3413
2019-03-02 20:57:26.559140096,60.1829,-140.7541,558.0,6.0,-79.0,13.9,552.0,5.7,240,S,2B,3413
2018-07-18 08:53:47.559140096,60.1829,-140.7541,501.0,7.0,-81.0,16.8,494.0,6.4,215,S,2A,3413
2019-08-19 20:58:27.559139840,60.1829,-140.7541,489.0,14.0,-76.0,24.5,483.0,13.7,109,S,2A,3413
2020-04-18 08:58:25.059140096,60.1829,-140.7541,670.0,23.0,-78.0,35.4,666.0,23.2,45,S,2B,3413
2018-12-05 09:00:59.059140096,60.1829,-140.7541,464.0,10.0,-83.0,10.0,457.0,9.8,165,S,2B,3413
2018-08-21 20:46:52.559140096,60.1829,-140.7541,487.0,2.0,-78.0,3.3,481.0,1.9,370,S,2A,3413
2018-12-20 08:57:07.559140096,60.1829,-140.7541,479.0,12.0,-66.0,13.1,474.0,11.9,105,S,2A,3413
2020-07-14 08:48:28.559140096,60.1829,-140.7541,600.0,11.0,-98.0,16.9,592.0,10.6,125,S,2B,3413
2019-10-28 20:58:27.059140096,60.1829,-140.7541,540.0,8.0,-88.0,10.6,533.0,7.7,259,S,2B,3413
2018-11-30 08:55:23.059140096,60.1829,-140.7541,514.0,4.0,-90.0,4.9,507.0,3.8,415,S,2B,3413
