-360 Ref_Nlat *Dot#
-122.089 42.9760002785 CLCV
-122.089 42.9760002557 CLCV
-124.131 48.8203043768 CLRS
-124.131 48.8203044355 CLRS
-124.131 48.8203044360 CLRS
-118.411 34.3531797230 CMP9
-118.411 34.3531797689 CMP9
-118.411 34.3531797026 CMP9
-118.411 34.3531797041 CMP9
-118.411 34.3531797130 CMP9
-118.411 34.3531797631 CMP9
-118.411 34.3531798175 CMP9
-75.9706 17.4151906788 CN10
-75.9706 17.4151906735 CN10
-77.7841 17.0211799434 CN11
-77.7841 17.0211799421 CN11
-76.7491 18.0044817683 CN12
-76.7491 18.0044817194 CN12
-76.7491 18.0044816360 CN12
-74.5338 24.0651854122 CN13
-73.678 20.9753286616 CN14
-73.678 20.9753286503 CN14
-77.8498 21.4222962829 CN16
-77.8498 21.4222961186 CN16
-70.0485 12.6118482709 CN19
-87.0447 12.3840932981 CN22
-87.0447 12.3840932896 CN22
-87.0447 12.3840933158 CN22
-87.0447 12.3840933953 CN22
-83.3746 14.0487965312 CN29
-83.3746 14.0487966018 CN29
-83.3746 14.0487966723 CN29
-83.3746 14.0487960957 CN29
-83.3746 14.0487967012 CN29
-83.3746 14.0487967568 CN29
-78.0148 8.5488778678 CN34
-81.3629 13.3754954768 CN35
-81.3629 13.3754954740 CN35
-81.3629 13.3754954822 CN35
-71.988 12.2218213504 CN38
-71.988 12.2218213564 CN38
-68.958 12.1800436862 CN40
-68.958 12.1800436662 CN40
-68.958 12.1800436654 CN40
-68.0415 8.9434548163 CN41
-80.5393 8.2432691015 CN55
-78.0148 8.5490769335 CN56
-121.749 48.5387064195 CNCR
-121.749 48.5387064096 CNCR
-117.609 33.8576323700 CNPP
-117.609 33.8576323667 CNPP
-117.609 33.8576324070 CNPP
-115.123 32.8634645003 COAG
-115.729 32.8505136724 COKG
-81.1217 34.0809952828 COLA
-81.1217 34.0809952653 COLA
-81.1217 34.0809952810 COLA
-81.1217 34.0809952660 COLA
-81.1217 34.0809952934 COLA
-117.903 48.5447648615 COLV
-117.903 48.5447648761 COLV
-117.903 48.5447648459 COLV
-75.2879 9.3280876904 CORO
-123.305 44.5855351089 CORV
-123.305 44.5855350558 CORV
-123.305 44.5855351083 CORV
-123.305 44.5855350314 CORV
-123.305 44.5855351231 CORV
-123.305 44.5855350763 CORV
-123.305 44.5855351147 CORV
-123.305 44.5855350768 CORV
-123.305 44.5855350744 CORV
-123.305 44.5855351155 CORV
-117.248 32.4153753986 CORX
-117.809 35.9823431669 COSO
-117.809 35.9823431002 COSO
-117.809 35.9823431522 COSO
-117.809 35.9823432571 COSO
-117.809 35.9823431910 COSO
-117.809 35.9823428432 COSO
-117.809 35.9823428458 COSO
-117.809 35.9823428484 COSO
-110.972 32.2244558023 COT1
-110.972 32.2244558158 COT1
-110.972 32.2244558173 COT1
-110.972 32.2244558367 COT1
-110.831 32.2374834643 COT2
-110.831 32.2374835277 COT2
-110.831 32.2374834926 COT2
-110.831 32.2374834943 COT2
-116.387 33.7324865900 COTD
-116.387 33.7324867571 COTD
-116.387 33.7324867073 COTD
-116.387 33.7324866970 COTD
-116.387 33.7324866909 COTD
-116.387 33.7324866955 COTD
-116.387 33.7324867173 COTD
-116.387 33.7324866829 COTD
-122.261 46.0592162413 COUG
-122.261 46.0592162537 COUG
-122.686 48.2173109470 COUP
-122.686 48.2173109424 COUP
-122.686 48.2173109319 COUP
-122.686 48.2173109538 COUP
-122.686 48.2173109551 COUP
-122.686 48.2173109480 COUP
-117.573 35.0717345224 CPBN
-117.573 35.0717345381 CPBN
-117.573 35.0717345283 CPBN
-117.573 35.0717345854 CPBN
-117.573 35.0717348889 CPBN
-120.314 47.4301780005 CPUD
-120.314 47.4301779759 CPUD
-122.257 46.8400850815 CPXX
-122.257 46.8400850679 CPXX
-122.257 46.8400850788 CPXX
-122.257 46.8400850556 CPXX
-122.257 46.8400850451 CPXX
-116.818 37.0812492432 CRAM
-116.818 37.0812492354 CRAM
-116.818 37.0812491639 CRAM
-119.568 36.1139865995 CRCN
-119.568 36.1139867188 CRCN
-117.1 34.0390516188 CRFP
-117.1 34.0390516676 CRFP
-117.1 34.0390516850 CRFP
-117.1 34.0390516765 CRFP
-117.1 34.0390516741 CRFP
-117.1 34.0390517026 CRFP
-119.725 35.2420920324 CRGG
-119.725 35.2420920344 CRGG
-119.725 35.2420920437 CRGG
-118.273 33.8235043364 CRHS
-118.273 33.8235042843 CRHS
-118.273 33.8235042643 CRHS
-118.273 33.8235043410 CRHS
-118.273 33.8235043854 CRHS
-68.9369 18.4166860856 CRLR
-64.5843 17.7568986724 CRO1
-64.5843 17.7568987218 CRO1
-64.5843 17.7568987245 CRO1
-64.5843 17.7568987475 CRO1
